輯別	書名	文章題名	作品描述(或後記)內容	推定日期	推斷來源	總字數	檔案名稱
第三輯 文集類	書序	序愍生法師《辨破楞嚴真偽》	（一九九二年四月二日聖嚴序於臺北北投區農禪寺）	#NAME?	作品陳述所載日期	771	03-05-022.txt
第三輯 文集類	書序	序正見法師英譯《華嚴經．如來出現品》	（序於一九九二年六月十日美國紐約）	#NAME?	作品陳述所載日期	900	03-05-023.txt
第三輯 文集類	書序	序林世敏居士《學佛百問》  ——展現佛法實用性	（一九九二年七月二十一日寫於臺北北投農禪寺）	#NAME?	作品陳述所載日期	513	03-05-024.txt
第三輯 文集類	書序	序陳雨鑫居士《公關．行銷．生活禪》	（一九九二年三月三十一日聖嚴序於臺北北投農禪寺）	#NAME?	作品陳述所載日期	950	03-05-025.txt
第三輯 文集類	書序	序楊郁文居士《阿含要略》	（一九九三年四月三日午後釋聖嚴序於臺北北投區中華佛學研究所）	#NAME?	作品陳述所載日期	1,182	03-05-026.txt
第三輯 文集類	書序	序于凌波居士《中國近代佛門人物誌》	（一九九三年四月三日釋聖嚴序於臺北市北投農禪寺）	#NAME?	作品陳述所載日期	1,487	03-05-027.txt
第三輯 文集類	書序	序《開創人間淨土——法鼓山當代藝術品義賣》	（一九九三年七月二十日序於臺北市農禪寺）	#NAME?	作品陳述所載日期	1,386	03-05-028.txt
第三輯 文集類	書序	通序「中華佛學研究所論叢」	（一九九四年七月三十日序於臺北北投中華佛學研究所）	#NAME?	作品陳述所載日期	1,206	03-05-029.txt
第三輯 文集類	書序	序《佛教思想的傳承與發展——印順導師九秩華誕祝壽文集》	（一九九四年十二月五日釋聖嚴序於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	2,137	03-05-030.txt
第三輯 文集類	書序	總序「高僧小說系列」	（一九九五年四月八日晨聖嚴序於臺北法鼓山農禪寺）	#NAME?	作品陳述所載日期	822	03-05-031.txt
第三輯 文集類	書序	序於幼華居士編著《環境與人》	（一九九五年七月四日序於美國紐約）	#NAME?	作品陳述所載日期	1,965	03-05-032.txt
第三輯 文集類	書序	序楊蓓居士《自在溝通——人我互動，從心出發》  ——掌握溝通之道	（一九九七年二月二十五日序於臺北農禪寺）	#NAME?	作品陳述所載日期	1,022	03-05-033.txt
第三輯 文集類	書序	推薦序《世界徵象》  ——化危機為轉機	（一九九七年九月五日序於法鼓山農禪寺）	#NAME?	作品陳述所載日期	1,115	03-05-034.txt
第三輯 文集類	書序	序林保寶居士《耕耘心田》	（一九九八年元月十一日清晨序於臺北農禪寺）	#NAME?	作品陳述所載日期	614	03-05-035.txt
第三輯 文集類	書序	推薦序游乾桂居士《用佛療心》  ——架構心理學與佛學的橋樑	（一九九八年三月六日於法鼓山農禪寺）	#NAME?	作品陳述所載日期	988	03-05-036.txt
第三輯 文集類	書序	序辜琮瑜居士《活著活著就笑了》	（一九九八年四月二十三日聖嚴寫於紐約東初禪寺）	#NAME?	作品陳述所載日期	816	03-05-037.txt
第三輯 文集類	書序	推薦序鄭振煌居士譯《心靈神醫》	（刊於《心靈神醫》一九九八年七月初版）	#NAME?	作品陳述所載日期	177	03-05-038.txt
第三輯 文集類	書序	序吳京居士《陪孩子快樂成長》	（一九九九年元月四日凌晨聖嚴序於自美返國的長榮航空班機上）	#NAME?	作品陳述所載日期	1,504	03-05-039.txt
第三輯 文集類	書序	序王尚智居士《人生多起伏，眺望新出路》  ——這個年輕人和他的書	（一九九九年元月二十五日晨聖嚴序於臺北農禪寺）	#NAME?	作品陳述所載日期	664	03-05-040.txt
第三輯 文集類	書序	序曹敬三居士《中國佛教名山名寺之旅》	（一九九九年三月二十六日聖嚴序於中華佛教文化館）	#NAME?	作品陳述所載日期	596	03-05-041.txt
第三輯 文集類	書序	推薦序楊幼蘭居士譯《一分鐘改變人生》	（刊於《一分鐘改變人生》，一九九八年四月初版）	#NAME?	作品陳述所載日期	243	03-05-042.txt
第三輯 文集類	書序	序梁寒衣居士《無涯歌——元曉大師傳》  ——才氣縱橫的女作家寫活了才氣縱橫的佛學大師	（一九九九年五月十七日釋聖嚴寫於美國紐約）	#NAME?	作品陳述所載日期	1,340	03-05-043.txt
第三輯 文集類	書序	序林其賢居士《聖嚴法師七十年譜》	（一九九九年八月十九日序於臺北北投中華佛學研究所）	#NAME?	作品陳述所載日期	1,187	03-05-044.txt
第三輯 文集類	書序	序《林子青居士文集》	（寫於二○○○年四月十九日美國紐約象岡道場）	#NAME?	作品陳述所載日期	936	03-05-045.txt
第三輯 文集類	書序	序法鼓山九二一震災週年紀實《人心重建——法鼓山的任務》	（二○○○年九月四月序於法鼓山）	#NAME?	作品陳述所載日期	1,854	03-05-046.txt
第三輯 文集類	書序	序《李恆鉞長者遺著》	（二○○○年十月二十六日序於美國紐約上州的象岡道場）	#NAME?	作品陳述所載日期	972	03-05-047.txt
第三輯 文集類	書序	序《耕耘播種——中華佛學研究所二十週年特刊》  ——我是這樣走過來的	（二○○一年五月十八日寫於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	2,483	03-05-048.txt
第三輯 文集類	書序	序陳辭修居士《做，就對了》	（二○○一年七月）	#NAME?	作品陳述所載日期	1,089	03-05-049.txt
第三輯 文集類	書序	序連寶猜居士《微笑菩薩》	（二○○一年八月十七日寫於法鼓山農禪寺）	#NAME?	作品陳述所載日期	753	03-05-050.txt
第三輯 文集類	書序	序《三壇大戒同戒錄》	（二○○一年九月二十六日於法鼓山）	#NAME?	作品陳述所載日期	664	03-05-051.txt
第三輯 文集類	書序	序《臺灣佛學院所教育年鑑》	（二○○一年十月五日序於法鼓山）	#NAME?	作品陳述所載日期	560	03-05-052.txt
第三輯 文集類	書序	序蔣揚仁欽仁者《自己的路，勇敢的走》  ——後繼有人，豈不高興！	（二○○一年十二月二十七日於美國紐約）	#NAME?	作品陳述所載日期	516	03-05-053.txt
第三輯 文集類	書序	推薦序游敏居士譯《天才10次方》	（二○○二年八月十日）	#NAME?	作品陳述所載日期	118	03-05-054.txt
第三輯 文集類	書序	序邱義城居士《撥開人生的烏雲》	（二○○二年九月二十八日寫於法鼓山）	#NAME?	作品陳述所載日期	646	03-05-055.txt
第三輯 文集類	書序	序《法鼓山僧伽大學九十學年度年報》  ——佛門興隆在教育	（二○○二年十一月二十二日寫於美國賓州）	#NAME?	作品陳述所載日期	1,085	03-05-056.txt
第三輯 文集類	書序	序繼程法師《活水源頭》	（二○○二年十二月十一日寫於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	688	03-05-057.txt
第三輯 文集類	書序	序新加坡《法鼓山簡訊》革新創刊號	（二○○三年三月八日）	#NAME?	作品陳述所載日期	303	03-05-058.txt
第三輯 文集類	書序	序江曉航先生《觀世音菩薩聖像百幀（二）》	（二○○三年三月十日於法鼓山）	#NAME?	作品陳述所載日期	874	03-05-059.txt
第三輯 文集類	書序	序張草居士《明日滅亡》	（二○○三年三月三十一日序於法鼓山）	#NAME?	作品陳述所載日期	997	03-05-060.txt
第三輯 文集類	書序	序《隋代古石雕阿閦佛頭像復歸紀實》	（二○○三年四月二十四日序於美東象岡道場）	#NAME?	作品陳述所載日期	1,334	03-05-061.txt
第三輯 文集類	書序	序第十四世達賴喇嘛《達賴生死書》中譯本  ——臨終時的明燈	（二○○三年五月四日序於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	890	03-05-062.txt
第三輯 文集類	書序	序第一屆．第二屆漢藏佛教文化交流研究班結業紀念  冊《札西德勒法鼓山》	（二○○三年七月十一日寫於臺北農禪寺）	#NAME?	作品陳述所載日期	731	03-05-063.txt
第三輯 文集類	書序	序鄧美玲居士《雲水吟——禪宗溯源之旅》	（二○○三年七月十七日於北投農禪寺）	#NAME?	作品陳述所載日期	1,285	03-05-064.txt
第三輯 文集類	書序	序李永然居士《法冷情深》  ——以宗教信仰淑世化世	（二○○三年九月二十九日於北投農禪寺）	#NAME?	作品陳述所載日期	816	03-05-065.txt
第三輯 文集類	書序	序二○○三慈善音樂晚會紀念特刊《法鼓之音》  ——獻給「法鼓之音」	（二○○三年十一月二十八日）	#NAME?	作品陳述所載日期	442	03-05-066.txt
第三輯 文集類	書序	序施叔青居士《心在何處——追隨聖嚴法師走江湖訪禪寺》  ——禪法長河增一瓢	（二○○四年元月二十日序於臺北法鼓山）	#NAME?	作品陳述所載日期	1,124	03-05-067.txt
第三輯 文集類	書序	序《法鼓人文學報》創刊號		2004.07	作品陳述-年譜所載文章出刊日	727	03-05-068.txt
第三輯 文集類	書序	序沈芯菱居士《啟動教育新希望工程》	（二○○四年十月十五日於法鼓山）	#NAME?	作品陳述所載日期	681	03-05-069.txt
第三輯 文集類	書序	序《太虛菩薩藏》  ——《太虛菩薩藏》是漢傳佛教新活力的泉源	（二○○四年十月十五日序於臺灣法鼓山）	#NAME?	作品陳述所載日期	1,768	03-05-070.txt
第三輯 文集類	書序	序《法鼓山文教基金會香港分會年刊二○○四》	（二○○五年一月二十二日）	#NAME?	作品陳述所載日期	1,034	03-05-071.txt
第三輯 文集類	書序	序江逸子居士《因果圖鑑——地獄變相圖釋文》	（二○○五年三月二十六日撰於臺北法鼓山丈室）	#NAME?	作品陳述所載日期	1,692	03-05-072.txt
第三輯 文集類	書序	序慈基會特刊《感恩與分享——走過二○○五年》  ——表達人間的一份溫暖	（二○○五年十二月二十二日於臺北中正精舍）	#NAME?	作品陳述所載日期	2,277	03-05-073.txt
第三輯 文集類	書序	序沈芯菱居士《一○○萬的願望》  ——臺灣新希望	（二○○六年元月十五日於法鼓山）	#NAME?	作品陳述所載日期	465	03-05-074.txt
第三輯 文集類	書序	序振法法師《天台四部止觀導讀》	（二○○六年四月二十二日寫於臺北精舍養疴中）	#NAME?	作品陳述所載日期	2,469	03-05-075.txt
第三輯 文集類	書序	序「大師密碼A─Z系列」  ——大師的密碼　成功的特質		2006.04	年譜所載出書/文章日	479	03-05-076.txt
第三輯 文集類	書序	序楊蓓居士《親密、孤獨與自由》  ——熟悉的名詞，化為解決問題的鎖匙	（二○○六年八月十二日）	#NAME?	作品陳述所載日期	1,266	03-05-077.txt
第三輯 文集類	書序	序潘煊居士《慢行聽禪——殷琪問法．聖嚴解惑》	（二○○六年十二月十八日於臺北）	#NAME?	作品陳述所載日期	1,744	03-05-078.txt
第三輯 文集類	書序	勉《臺灣好生活》電子報創刊  ——為社會注入陽光	（二○○七年三月十四日）	#NAME?	作品陳述所載日期	945	03-05-079.txt
第三輯 文集類	書序	序《中華阿含辭典》	（二○○七年五月十二日聖嚴序於法鼓山）	#NAME?	作品陳述所載日期	2,043	03-05-080.txt
第三輯 文集類	書序	序悟因法師《魚趁鮮．人趁早——明宗上人走過台灣佛教六十年》  ——飲水報恩，思源承流	（二○○七年六月二十四日）	#NAME?	作品陳述所載日期	2,385	03-05-081.txt
第三輯 文集類	書序	序吳若權居士《甘露與淨瓶的對話——聖嚴法師開示，吳若權修行筆記》  ——轉念之後，柳暗花明	（二○○七年六月二十七日）	#NAME?	作品陳述所載日期	1,225	03-05-082.txt
第三輯 文集類	書序	序「林子青文集」  ——創造歷史的林子青居士		2008.08	作品陳述-博客來所載出書日	1,157	03-05-083.txt
第三輯 文集類	書序	序《第二屆國際關懷生命獎大會手冊》  ——生命，不只屬於我們自己	（刊載於《法鼓山二○○八國際關懷生命獎——大會手冊》）	2008.09	作品陳述-年譜所載文章出刊日	1,986	03-05-084.txt
第三輯 文集類	書序	序《四川的希望——法鼓山救援四川大地震一○○天記實》  ——一份不能輕解的重責	（二○○八年八月二十二日）	#NAME?	作品陳述所載日期	1,652	03-05-085.txt
第三輯 文集類	書序	序《一缽千家飯——法鼓山攝影集》  ——因緣聚合成現代佛教的一頁		2008.11	年譜所載出書/文章日	3,538	03-05-086.txt
第三輯 文集類	書序	《大悲心水陸儀軌》修訂序	（二○○九年元月十一日定稿於臺北臺大醫院）	#NAME?	作品陳述所載日期	1,571	03-05-087.txt
第三輯 文集類	書序	《聖嚴文集》自序	（一九六三年三月序於朝元寺）	#NAME?	作品陳述所載日期	783	03-05-088.txt
第三輯 文集類	書序	《世界佛教通史》上冊自序	（一九六九年八月聖嚴寫於日本東京立正大學佛教學研究室）	#NAME?	作品陳述所載日期	1,896	03-05-089.txt
第三輯 文集類	書序	《密教史》譯序	（一九八二年七月十日聖嚴序於美國紐約禪中心）	#NAME?	作品陳述所載日期	631	03-05-090.txt
第三輯 文集類	書序	《佛心》自序（英文本）	（一九八二年七月十五日於美國紐約禪中心）	#NAME?	作品陳述所載日期	1,018	03-05-091.txt
第三輯 文集類	書序	《牧牛與尋劍》自序	（一九八八年六月七日序於美國紐約禪中心）	#NAME?	作品陳述所載日期	888	03-05-092.txt
第三輯 文集類	書序	《禪門三要》總序	（一九九一年七月二十四日聖嚴序於臺北農禪寺）	#NAME?	作品陳述所載日期	791	03-05-093.txt
第三輯 文集類	書序	《禪門囈語續集》自序	（一九九一年十月二十七日於美國紐約禪中心）	#NAME?	作品陳述所載日期	1,228	03-05-094.txt
第三輯 文集類	書序	《學佛三要》自序	（一九九二年十二月五日聖嚴自序於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	393	03-05-095.txt
第三輯 文集類	書序	《聖嚴法師心靈環保》自序	（一九九三年十月二十六日聖嚴寫於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	2,492	03-05-096.txt
第三輯 文集類	書序	《法鼓山的方向》自序	（一九九五年五月三十日聖嚴序於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	1,382	03-05-097.txt
第三輯 文集類	書序	《佛七手冊》序言	（一九九五年十二月八日聖嚴序於美國紐約東初禪寺）	#NAME?	作品陳述所載日期	577	03-05-098.txt
第三輯 文集類	書序	《禪的智慧》中文版序	（二○○三年四月二十四日序於美東象岡道場）	#NAME?	作品陳述所載日期	1,139	03-05-099.txt
第三輯 文集類	書序	寫在《正信的佛教》英譯本出版之前	（序於二○○六年一月十七日）	#NAME?	作品陳述所載日期	877	03-05-100.txt
第三輯 文集類	書序	致  Hoofprint of the Ox 愛沙尼亞文譯本讀者	（序於二○○六年二月六日）	#NAME?	作品陳述所載日期	790	03-05-101.txt
第三輯 文集類	書序	序單德興居士譯《禪無所求——聖嚴法師的〈心銘〉十二講》	（二○○六年八月四日）	#NAME?	作品陳述所載日期	675	03-05-102.txt
第三輯 文集類	書序	《聖嚴法師教禪坐》大陸版序	（二○○六年八月八日）	#NAME?	作品陳述所載日期	884	03-05-103.txt
第三輯 文集類	書序	序《遊心禪悅——聖嚴法師 法語．墨緣．興學 墨迹選》  ——我的書法		2007.02	作品陳述-年譜所載文章出刊日	698	03-05-104.txt
第三輯 文集類	書序	序《遊心禪悅——法鼓山珍藏聖嚴法師墨跡》		2007.02	作品陳述-年譜所載文章出刊日	403	03-05-105.txt
第三輯 文集類	書序	序  Footprints in the Snow	（二○○六年十二月十四日於美國紐約象岡道場禪中心）	#NAME?	作品陳述所載日期	1,467	03-05-106.txt
第三輯 文集類	書序	序《法鼓山佛曲集》	（二○○七年五月十九日）	#NAME?	作品陳述所載日期	710	03-05-107.txt
第三輯 文集類	書序	序《正信的佛教》三書簡體版發行	（序於二○○八年二月二十五日臺灣法鼓山）	#NAME?	作品陳述所載日期	924	03-05-108.txt
第三輯 文集類	書序	序《戒律學綱要》韓文版發行	（二○○八年四月二日於臺北法鼓山中正精舍）	#NAME?	作品陳述所載日期	964	03-05-109.txt
第三輯 文集類	評介	近代中國佛教史上的四位思想家	（一九七七年五月《華學月刊》六十五期）	#NAME?	作品陳述所載日期	7,295	03-06-001.txt
第三輯 文集類	評介	太虛大師評傳	（一九六三年七月十七日脫稿於朝元寺，刊於《海潮音》四十六卷三月及五月號）	#NAME?	作品陳述所載日期	14,417	03-06-002.txt
第三輯 文集類	評介	劃時代的博士比丘	（一九七三年八月八日《菩提樹》二四九期）	#NAME?	作品陳述所載日期	7,076	03-06-003.txt
第三輯 文集類	評介	印順長老的佛學思想	（一九八八年十一月十八日於美國紐約）	#NAME?	作品陳述所載日期	4,737	03-06-004.txt
第三輯 文集類	評介	關於胡適思想的宗教信仰		1959.03	作品陳述-年譜所載文章出刊日	9,283	03-06-005.txt
第三輯 文集類	評介	解剖胡適先生的思想與人格	（刊於《人生》十二卷八期）	1960.08	作品陳述-東初網站《人生》（舊）出刊日	2,045	03-06-006.txt
第三輯 文集類	評介	《中國禪宗史》讀後	（一九七三年一月《華學月刊》十三期）	#NAME?	作品陳述所載日期	8,049	03-06-007.txt
第三輯 文集類	評介	評慧嶽法師編著《天台教學史》	（一九七四年八月八日刊於《菩提樹》）	#NAME?	作品陳述所載日期	7,614	03-06-008.txt
第三輯 文集類	評介	《弘一大師律學講錄三十三種合刊》讀後	（一九六二年三月於高雄大雄山無住樓）	#NAME?	作品陳述所載日期	4,025	03-06-009.txt
第三輯 文集類	評介	《優婆塞戒經》讀後  ——如何成為理想的在家菩薩	（一九六一年六月二十二日於朝元寺無住樓）	#NAME?	作品陳述所載日期	5,173	03-06-010.txt
第三輯 文集類	評介	《成佛之道》讀後		1960.11	圖書館翻閱結果	2,674	03-06-011.txt
第三輯 文集類	評介	《十大弟子傳》讀後感	（一九六一年二月十日晚於北投，刊於《今日佛教》四十七期）	#NAME?	作品陳述所載日期	4,074	03-06-012.txt
第三輯 文集類	評介	我讀影印《大藏經》的最後一本書	（一九五九年七月於北投，刊於《人生》十一卷七期）	#NAME?	作品陳述所載日期	4,392	03-06-013.txt
第三輯 文集類	評介	《印度通史》讀後	（一九五八年元旦於新店，刊於《海潮音》三十九卷一期）	#NAME?	作品陳述所載日期	3,935	03-06-014.txt
第三輯 文集類	評介	《新晴》評介	（一九五九年元月，刊於《今日佛教》二卷九期）	#NAME?	作品陳述所載日期	6,086	03-06-015.txt
第三輯 文集類	評介	《舊約》這部書	（一九五五年三月於鳳山）	#NAME?	作品陳述所載日期	6,412	03-06-016.txt
第三輯 文集類	評介	一切眾生皆成佛道  ——《法華經》義示佛本懷	（莊晏整理，原收於圓神出版社《生命中的不可不讀——影響十六位名家的一部經》）	1997.11	作品陳述-國圖典藏所載出書日	5,050	03-06-017.txt
第三輯 文集類	致詞	心靈環保	（講於一九九六年九月三十日普賢講堂「一九九六年世界佛教靜坐日」特別講座，陳正馨居士整理）	#NAME?	作品陳述所載日期	3,338	03-07-001.txt
第三輯 文集類	致詞	環境保護	（二○○○年八月三十一日「千禧年世界宗教暨精神領袖和平高峰會」環保小組討論會，刊於《人生》雜誌二十六期）	#NAME?	作品陳述所載日期	1,947	03-07-002.txt
第三輯 文集類	致詞	關懷世界與消弭衝突	（講於二○○一年四月十六日宗教與世界和平及心靈環保座談會）	#NAME?	作品陳述所載日期	1,210	03-07-003.txt
第三輯 文集類	致詞	宗教的了解與宗教的合作	（二○○一年九月二十日「世界宗教合作會議」閉幕演說）	#NAME?	作品陳述所載日期	4,955	03-07-004.txt
第三輯 文集類	致詞	宗教領袖的願景與使命	（講於二○○一年十月聯合國世界宗教暨精神領袖理事會諮詢委員會）	#NAME?	作品陳述所載日期	2,474	03-07-005.txt
第三輯 文集類	致詞	多元化世界人類所應認知的「神聖」是求同存異	（講於二○○二年二月一日世界經濟論壇）	#NAME?	作品陳述所載日期	712	03-07-006.txt
第三輯 文集類	致詞	應當以「經濟及教育支援」來轉變基本教義派的認知	（講於二○○二年二月三日世界經濟論壇）	#NAME?	作品陳述所載日期	537	03-07-007.txt
第三輯 文集類	致詞	心靈環保  ——慈悲沒有敵人，智慧不起煩惱	（二○○二年二月二十五日講於總統府「國父紀念月會」）	#NAME?	作品陳述所載日期	4,577	03-07-008.txt
第三輯 文集類	致詞	世界宗教領袖在二十一世紀的任務	（二○○二年六月十二日講於曼谷佛統城大會堂「世界宗教暨精神領袖理事會」）	#NAME?	作品陳述所載日期	1,653	03-07-009.txt
第三輯 文集類	致詞	結合婦女力量尋求世界和平	（二○○二年十月七日發表於「第一屆全球和平婦女宗教暨精神領袖會議」）	#NAME?	作品陳述所載日期	938	03-07-010.txt
第三輯 文集類	致詞	危機與和平	（二○○三年一月二十九日發表於「女性宗教暨精神領袖全球和平運動組織」發起之「女性和平祈禱早餐會」）	#NAME?	作品陳述所載日期	721	03-07-011.txt
第三輯 文集類	致詞	宗教的暴力與恐怖主義	（二○○三年五月二十一日講於美國紐約聯合國哈瑪紹紀念圖書館演講廳）	#NAME?	作品陳述所載日期	2,586	03-07-012.txt
第三輯 文集類	致詞	建立全球共通倫理價值的重要性	（二○○四年一月二十八日講於「世界宗教暨精神領袖理事會」所舉辦之「防止恐怖主義：以教育來促進世界和平及催生全球共通的倫理價值」研討會）	#NAME?	作品陳述所載日期	326	03-07-013.txt
第三輯 文集類	致詞	以教育來建立全球共通的倫理價值	（二○○四年一月二十八日以錄影帶播講於美國紐約聯合國哈瑪紹紀念圖書館舉辦的「防止恐怖主義：以教育來促進世界和平及催生全球共通的倫理價值」研討會）	#NAME?	作品陳述所載日期	1,700	03-07-014.txt
第三輯 文集類	致詞	認識心靈環保  ——闡明心靈環保的精義，以及與心靈貧窮的關聯	（二○○四年七月二十四日世界青年和平高峰會臺北論壇主題演說）	#NAME?	作品陳述所載日期	2,551	03-07-015.txt
第三輯 文集類	致詞	以慈悲和智慧處理各種衝突	（講於二○○五年二月一日愛爾蘭．都柏林「信仰暨發展領袖會議」）	#NAME?	作品陳述所載日期	1,168	03-07-016.txt
第三輯 文集類	致詞	在多元文化的地球村共存共榮	（二○○五年十月十九日講於臺北圓山飯店迎賓晚宴）	#NAME?	作品陳述所載日期	1,425	03-07-017.txt
第三輯 文集類	致詞	四環即佛法	（二○○五年十月二十日講於臺北圓山飯店「世界佛教領袖座談會」）	#NAME?	作品陳述所載日期	996	03-07-018.txt
第三輯 文集類	致詞	大悲心起	（二○○五年十一月八日講於荷蘭阿姆斯特丹「地球憲章」成立五週年會議〔常濟法師代表宣讀〕）	#NAME?	作品陳述所載日期	1,068	03-07-019.txt
第三輯 文集類	致詞	從「心」溝通的世界大趨勢	(二○○六年四月十三日於浙江杭州首屆「世界佛教論壇」〔果品法師代表宣讀〕)	#NAME?	作品陳述所載日期	3,478	03-07-020.txt
第三輯 文集類	致詞	心懷大悲，世界大慈	（二○○六年六月二十日講於法鼓山園區「全球女性慈悲論壇」）	#NAME?	作品陳述所載日期	1,608	03-07-021.txt
第三輯 文集類	致詞	一條共同的道路	（二○○六年十一月十二日於黎巴嫩貝魯特「中東暨亞洲宗教領袖高峰會」開幕錄影演說）	#NAME?	作品陳述所載日期	827	03-07-022.txt
第三輯 文集類	致詞	佛教是推動世界永久和平的希望	（二○○七年五月二十八日於泰國曼谷聯合國亞太總部「衛塞節」慶典致詞〔法鼓山方丈和尚果東法師代表宣讀〕）	#NAME?	作品陳述所載日期	1,456	03-07-023.txt
第三輯 文集類	致詞	佛教倫理與現代社會	（一九九○年一月十二日講於「第一屆中華國際佛學會議」主題演說，收錄於《一九八九―二○○一法鼓山年鑑》）	#NAME?	作品陳述所載日期	2,033	03-07-024.txt
第三輯 文集類	致詞	印順導師思想與當代佛教	（一九九五年四月一日講於臺北安和分院「慶祝印公導師九秩嵩壽學術座談會」，收錄於《一九八九―二○○一法鼓山年鑑》）	#NAME?	作品陳述所載日期	2,046	03-07-025.txt
第三輯 文集類	致詞	歷史氣質和宇宙氣勢  ——楊英風和法鼓山	（二○○○年七月「楊英風藝術成就國際研討會」開幕致詞）	#NAME?	作品陳述所載日期	2,139	03-07-026.txt
第三輯 文集類	致詞	千禧年世界宗教暨精神領袖和平高峰會開幕致詞	（二○○○年八月二十九日講於美國紐約聯合國總部大會開幕致詞，收錄於《一九八九―二○○一法鼓山年鑑》）	#NAME?	作品陳述所載日期	1,646	03-07-027.txt
第三輯 文集類	致詞	從本土到全球	（二○○○年十二月十八日榮獲「第二十屆行政院文化獎」得獎感言，收錄於《一九八九―二○○一法鼓山年鑑》）	#NAME?	作品陳述所載日期	1,121	03-07-028.txt
第三輯 文集類	致詞	弘一大師  ——近代佛教的完人	（二○○一年九月十七日「第四屆弘一大師德學會議暨論文發表會」閉幕典禮致詞）	#NAME?	作品陳述所載日期	1,354	03-07-029.txt
第三輯 文集類	致詞	人文指導科技．科技服務人文	（二○○一年十月八日講於「科技發展與人文重建學術研討會」開幕致詞）	#NAME?	作品陳述所載日期	1,235	03-07-030.txt
第三輯 文集類	致詞	第四屆中華國際佛學會議開幕詞	（二○○二年一月十八日於臺北中央研究院）	#NAME?	作品陳述所載日期	721	03-07-031.txt
第三輯 文集類	致詞	心靈環保全民博覽會開幕詞	（二○○二年九月二十一日講於臺北市臺灣大學綜合體育館）	#NAME?	作品陳述所載日期	516	03-07-032.txt
第三輯 文集類	致詞	紫雲寺文化大樓開光啟用致詞	（二○○三年三月一日）	#NAME?	作品陳述所載日期	790	03-07-033.txt
第三輯 文集類	致詞	「第二屆總統文化獎」得獎感言	（二○○三年七月二十八日講於「第二屆總統文化獎」得獎者公布記者會）	#NAME?	作品陳述所載日期	755	03-07-034.txt
第三輯 文集類	致詞	「兩岸佛教學術研究現況與教育發展研討會」開幕詞	（二○○三年十月十八日）	#NAME?	作品陳述所載日期	524	03-07-035.txt
第三輯 文集類	致詞	「世界青年和平高峰會臺北論壇」開幕致詞	（二○○四年七月二十三日「世界青年和平高峰會臺北論壇」開幕式致詞）	#NAME?	作品陳述所載日期	1,369	03-07-036.txt
第三輯 文集類	致詞	化解仇恨、跨越悲情	（二○○四年十月十六日「戒嚴時期不當審判受難者追思祈福會」）	#NAME?	作品陳述所載日期	652	03-07-037.txt
第三輯 文集類	致詞	環保自然葬研討會致詞	（二○○四年十二月二十日）	#NAME?	作品陳述所載日期	662	03-07-038.txt
第三輯 文集類	致詞	法鼓山要發揮的教育功能	（二○○五年十月二十九日講於法鼓山園區「供佛齋僧大會」）	#NAME?	作品陳述所載日期	990	03-07-039.txt
第三輯 文集類	致詞	觀音菩薩與現代社會	（二○○六年三月四日講於法鼓山園區「第五屆中華國際佛學會議」開幕致詞）	#NAME?	作品陳述所載日期	3,104	03-07-040.txt
第三輯 文集類	致詞	致賀聯合國衛塞節慶典大會	法鼓山聖嚴法師二○○六年五月七日	#NAME?	作品陳述所載日期	208	03-07-041.txt
第三輯 文集類	致詞	認清價值觀與大方向，感恩順境與逆境	（二○○六年六月三日講於國立臺灣大學畢業典禮）	#NAME?	作品陳述所載日期	2,001	03-07-042.txt
第三輯 文集類	致詞	傳遞慈悲和愛的鐘聲	（二○○六年九月十日臺大「二○○六關懷生命健走祈福」，收錄於《二○○六法鼓山年鑑》）	#NAME?	作品陳述所載日期	686	03-07-043.txt
第三輯 文集類	致詞	法鼓山建築理念及目的	（二○○六年十月十四日於「法鼓山佛教建築研討會」開幕演講，收錄於《二○○六法鼓山年鑑》）	#NAME?	作品陳述所載日期	4,480	03-07-044.txt
第三輯 文集類	致詞	如何研究我走的路	（二○○六年十月十八日講於臺北圓山飯店首屆「聖嚴思想與當代社會」學術研討會閉幕致詞，收錄於《二○○六法鼓山年鑑》）	#NAME?	作品陳述所載日期	4,259	03-07-045.txt
第三輯 文集類	致詞	和平，從我們的內心開始	（二○○六年十月二十六日於美國紐約象岡道場「青年領袖促進和平論壇」開幕致詞）	#NAME?	作品陳述所載日期	1,146	03-07-046.txt
第三輯 文集類	致詞	用慈悲心拯救世界	（二○○六年十月二十八日於美國紐約象岡道場「青年領袖促進和平論壇」閉幕致詞）	#NAME?	作品陳述所載日期	1,827	03-07-047.txt
第三輯 文集類	致詞	友誼是和平的基礎	（二○○七年三月六日於肯亞戈曼「蘇丹青年和平論壇」會議致詞〔常聞法師代表宣讀〕）	#NAME?	作品陳述所載日期	1,742	03-07-048.txt
第三輯 文集類	致詞	提倡環保的民俗節慶	（二○○七年八月九日講於臺北縣政府「環保網路普度」記者會）	#NAME?	作品陳述所載日期	2,464	03-07-049.txt
